P0,PA0
P1,PA1
P2,PA2
P3,PA3
P4,PC1
P5,PB5
P6,PC7
P7,PA10
P8,PA4
P9,PC6
P10,PC0
P11,PB3
P12,PA3
P13,PC10
P14,PC11
P15,PC13
P16,PA15
P19,PB6
P20,PB7
PA0,PA0
PA1,PA1
PA2,PA2
PA3,PA3
PA4,PA4
PA5,PA5
PA6,PA6
PA7,PA7
PA8,PA8
PA9,PA9
PA10,PA10
PA11,PA11
PA12,PA12
PA15,PA15
PB0,PB0
PB1,PB1
PB2,PB2
PB3,PB3
PB4,PB4
PB5,PB5
PB6,PB6
PB7,PB7
PB8,PB8
PB9,PB9
PB10,PB10
PB12,PB12
PB13,PB13
PB14,PB14
PB15,PB15
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PC4,PC4
PC5,PC5
PC6,PC6
PC7,PC7
PC8,PC8
PC9,PC9
PC10,PC10
PC11,PC11
PC12,PC12
PC13,PC13
PC14,PC14
PC15,PC15
UP,PA6,
DOWN,PA5,
LEFT,PA7,
RIGHT,PB2,
BTNA,PB9,
BTNB,PC3,
BUZZ,PB8
LIGHT,PC2
TEMP,PC5
PD2,PD2
LED_RED,PB4
LED_GREEN,PB5
SW,PB9
